Make,Model,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BMW,X2,,,,,,,,,,,,,,,,,,,16154,11293,7368,6563,2641,191,3619,8681,
BMW,X3,,,,,,30869,31291,28058,17622,6047,6075,27793,38004,30623,33824,31924,44196,40691,61351,70110,59777,75858,65800,63172,68799,76542,
BMW,X4,,,,,,,,,,,,,,,2653,6429,4989,5198,4323,8758,7662,10622,9799,9537,9982,5910,
BMW,X5,,,,,,37598,26798,35201,31858,27071,35776,40547,44535,39037,47031,54997,47641,50815,45013,54595,50513,60724,82373,72574,72349,76247,
BMW,X6,,,,,,,,,4548,4787,6257,6192,7251,5530,3952,7906,7117,6780,6862,4240,7291,9590,13675,10077,9482,12001,
BMW,X7,,,,,,,,,,,,,,,,,,,,21574,20579,23046,30706,,,,
BMW,XM,,,,,,,,,,,,,,,,,,,,,,,,1906,1973,1877,
BMW,Z4,,,,,,10045,12284,10097,5879,3523,3804,3479,2996,2480,2151,1829,1187,502,4,2941,2364,2412,1565,1881,2129,2112,
BMW,Z8,,,524,439,110,17,5,,,,,,,,,,,,,,,,,,,,
BMW,i3,,,,,,,,,,,,,,,6092,11024,7625,6276,6117,4854,1703,1476,9,,,,
BMW,i4,,,,,,,,,,,,,,,,,,,,,,,8463,,,,
BMW,i7,,,,,,,,,,,,,,,,,,,,,,,284,,,,
BMW,i8,,,,,,,,,,,,,,,555,2265,1594,488,772,1102,188,18,5,,,,
BMW,iX,,,,,,,,,,,,,,,,,,,,,,,5665,,,,
BUICK,CASCADA,,,,,,,,,,,,,,,,,7153,5595,4628,2535,12,,,,,,
BUICK,CENTURY,,,163739,94279,67264,6504,83,5,,,,,,,,,,,,,,,,,,,
BUICK,Cascada,,,,,,,,,,,,,,,,,7153,5595,4136,2535,12,7,,,,,
BUICK,ENCLAVE,,,,,,,,29286,44706,43150,55426,58392,60870,60534,62300,62081,52028,48564,49648,51156,38479,42340,30532,39412,26398,29753,
BUICK,ENCORE,,,,,,,,,,,,,,31956,48892,67279,78565,88035,93071,102401,44353,20438,13717,5888,126,,
BUICK,ENCORE GX,,,,,,,,,,,,,,,,,,,,,42240,72401,33349,63969,58185,57530,
BUICK,ENVISTA,,,,,,,,,,,,,,,,,,,,,,,,13301,51316,58889,
BUICK,Enclave,,,,,,,,,,,,,,60534,62300,62081,52028,48564,49647,51156,38480,41962,30533,,,,
BUICK,Encore,,,,,,,,,,,,,,31956,48892,67549,78565,88035,93073,102402,41752,20072,13718,,,,
BUICK,Encore GX,,,,,,,,,,,,,,,,,,,,,44841,71247,33348,,,,
BUICK,Envision,,,,,,,,,,,,,,,,,14193,41040,30152,33229,34942,46450,25871,,,,
BUICK,LACROSSE,,,,,,92669,71072,47747,36873,27818,61178,58474,62304,48798,51468,42035,27582,20161,15527,7241,229,9,,,,,
BUICK,LESABRE,,,,,,75369,2313,121,,,,,,,,,,,,,,,,,,,
BUICK,LUCERNE,,,,,,8821,96515,83223,54930,31292,26459,20358,1275,9,,,,,,,,,,,,,
BUICK,LaCrosse,,,,,,,,,,,,,,48798,51468,42035,27582,20161,15527,7241,230,18,,,,,
BUICK,Lucerne,,,,,,,,,,,,,,9,,,,,,,,,,,,,
BUICK,PARK AVENUE,,,30140,26820,17138,2175,51,26,,,,,,,,,,,,,,,,,,,
BUICK,RAINIER,,,,,,20288,11948,5569,544,33,,,,,,,,,,,,,,,,,
BUICK,REGAL,,,,,,602,30,,,,12326,40144,27252,18685,22560,19504,19833,11559,14117,10363,2493,19,,,,,
BUICK,RENDEZVOUS,,,,,,60589,45954,15295,27,9,,,,,,,,,,,,,,,,,
BUICK,Regal,,,,,,,,,,,,,,18685,22560,19504,19833,11559,14118,10363,2484,43,49,,,,
BUICK,TERRAZA,,,,,,20288,11948,5569,544,33,,,,,,,,,,,,,,,,,
BUICK,VERANO,,,,,,,,,,,,261,42730,45527,43743,31886,30277,4277,79,,,,,,,,
BUICK,Verano,,,,,,,,,,,,,,45527,43743,31886,30277,4277,210,3,,,,,,,
CADILLAC,ALLANTE,,,,,,,,,,,,,15049,32559,24335,23112,22171,16275,17729,11306,1200,,,,,,
CADILLAC,ATS,,,,,,,,,,,,,7008,38319,29890,26873,21505,13100,10860,1134,115,17,,,,,
CADILLAC,CATERA,17290,9764,244,208,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,CT4,,,,,,,,,,,,,,,,,,,,,4888,7254,9270,9144,6208,5618,
CADILLAC,CT5,,,,,,,,,,,,,,,,,,,,43,14712,9448,15896,18592,14861,16561,
CADILLAC,CT6,,,,,,,,,,,,,,,,,9169,10542,9668,7951,3117,174,23,,,,
CADILLAC,CTS,,,,,,61512,54846,57030,58774,38817,45656,55042,51549,32343,31115,19485,15911,10344,11220,6966,611,68,,,,,
CADILLAC,DEVILLE,105694,95354,84927,82076,68195,38661,807,71,,,,,,,,,,,,,,,,,,,
CADILLAC,DTS,,,,,,23322,58224,51469,30479,17330,18640,11589,533,16,,,,,,,,,,,,,
CADILLAC,ELDORADO,13289,9859,5661,193,,,,,,,,,,,,,,,,,,,,,,,
CADILLAC,ELR,,,,,,,,,,,,,,6,1310,1024,534,17,2,,,,,,,,
CADILLAC,ESCALADE,,,,,,29876,39017,36654,23947,16873,16118,15079,13626,12592,19482,21230,23604,22994,36032,35424,24545,40504,40250,41690,41672,55395,
CADILLAC,Escalade,,,,,,,,,,,,,,22514,30522,35921,39092,37694,36872,35424,24547,40505,40247,,,,
CADILLAC,LYRIQ EV,,,,,,,,,,,,,,,,,,,,,,,123,9155,28398,21271,
CADILLAC,Lyriq,,,,,,,,,,,,,,,,,,,,,,,122,,,,
CADILLAC,OPTIQ EV,,,,,,,,,,,,,,,,,,,,,,,123,9155,28398,21271,
CADILLAC,SEVILLE SLS,29535,25290,21494,18747,3386,137,9,,,,,,,,,,,,,,,,,,,,
CADILLAC,SRX,,,,,,22999,22043,22543,16156,20237,51084,56905,62468,56776,53578,68850,22139,156,2,,,,,,,,
CADILLAC,STS,,,,,,33497,25676,20873,14790,6037,4473,3338,197,10,,,,,,,,,,,,,
CADILLAC,VISTIQ EV,,,,,,,,,,,,,,,,,,,,,,,123,9155,28398,21271,
CADILLAC,XLR,,,,,,3730,3203,1750,1250,787,188,13,,,,,,,,,,,,,,,
CADILLAC,XT4,,,,,,,,,,,,,,,,,,,7785,31987,22473,11576,21773,22708,22403,11059,
CADILLAC,XT5,,,,,,,,,,,,,,,,,36462,68312,60566,49878,35224,28378,27340,26808,26432,24701,
CADILLAC,XT6,,,,,,,,,,,,,,,,,,,,11560,22610,20663,20055,19118,20225,17059,
CADILLAC,XTS,,,,,,,,,,,,,15049,32559,24335,23112,22171,16275,17729,11306,1200,132,,,,,
